,phenotype,beta,abs_beta,p_value,n,fdr_p,significant
0,body_comp_arm_left_region_percent_fat,0.2748769241495023,0.2748769241495023,0.008212790266163724,469,0.7828963867577514,False
1,total_scan_sat_mass,0.2703392080568367,0.2703392080568367,0.013756243660814238,469,0.7828963867577514,False
2,body_comp_trunk_region_percent_fat,0.26698436215189775,0.26698436215189775,0.023836064589684302,469,0.8938524221131613,False
3,body_comp_trunk_total_mass,0.25078222621862056,0.25078222621862056,0.01565792773515503,469,0.7828963867577514,False
4,body_comp_gynoid_region_percent_fat,0.21974991788385628,0.21974991788385628,0.03830645603437244,469,0.9597141783554833,False
5,body_comp_gynoid_fat_free_mass,0.2078349161520039,0.2078349161520039,0.04515497243613065,469,0.9597141783554833,False
6,body_comp_leg_left_tissue_mass,-0.20489526902364566,0.20489526902364566,0.046626461213584144,469,0.9597141783554833,False
7,body_comp_arm_right_region_percent_fat,-0.19950089412512992,0.19950089412512992,0.051184756178959116,469,0.9597141783554833,False
8,body_comp_total_tissue_percent_fat,0.19694180702455352,0.19694180702455352,0.09872050839242635,469,0.9866724396266681,False
9,body_comp_total_right_bone_mass,0.1858915653529502,0.1858915653529502,0.07438764403740113,469,0.9866724396266681,False
10,total_scan_vat_mass,0.18248794393830897,0.18248794393830897,0.1515815938654217,469,0.9866724396266681,False
11,body_comp_leg_right_fat_free_mass,-0.17052679598535705,0.17052679598535705,0.09413021844849091,469,0.9866724396266681,False
12,body_comp_leg_left_total_mass,-0.16958085483561455,0.16958085483561455,0.10262879080100505,469,0.9866724396266681,False
13,body_comp_total_right_lean_mass,-0.16445236238401903,0.16445236238401903,0.10425403242775853,469,0.9866724396266681,False
14,body_comp_trunk_right_bone_mass,0.15955904742278132,0.15955904742278132,0.12012890510117255,469,0.9866724396266681,False
15,body_comp_legs_tissue_mass,-0.1595325231250279,0.1595325231250279,0.11570319694240822,469,0.9866724396266681,False
16,body_comp_android_fat_mass,0.15371487572675632,0.15371487572675632,0.2253925790021789,469,0.9866724396266681,False
17,body_comp_arms_fat_free_mass,-0.14908485211184008,0.14908485211184008,0.14865538564451036,469,0.9866724396266681,False
18,body_comp_total_total_mass,-0.14856261243383004,0.14856261243383004,0.14497881076006064,469,0.9866724396266681,False
19,body_comp_trunk_right_region_percent_fat,-0.14366402853123353,0.14366402853123353,0.1649443205333142,469,0.9866724396266681,False
20,body_comp_leg_right_fat_mass,0.14315232871039324,0.14315232871039324,0.16539121579116378,469,0.9866724396266681,False
21,body_comp_total_left_fat_mass,-0.14277721060537868,0.14277721060537868,0.15612513491687482,469,0.9866724396266681,False
22,body_comp_total_fat_mass,0.13828281112019966,0.13828281112019966,0.30570425120291256,469,0.9866724396266681,False
23,body_comp_leg_right_tissue_mass,-0.13381472159076394,0.13381472159076394,0.18907800151616627,469,0.9866724396266681,False
24,total_scan_vat_area,0.13143677683792485,0.13143677683792485,0.2954705235386569,469,0.9866724396266681,False
25,body_comp_total_diff_fat_free_mass,0.13107521239033265,0.13107521239033265,0.20027136139849466,469,0.9866724396266681,False
26,body_comp_trunk_left_tissue_percent_fat,0.12796599422196195,0.12796599422196195,0.2239466017891577,469,0.9866724396266681,False
27,body_comp_trunk_diff_fat_free_mass,-0.12271200180787079,0.12271200180787079,0.23204742279888713,469,0.9866724396266681,False
28,body_comp_arm_right_total_mass,-0.12227757579972283,0.12227757579972283,0.2350521796195938,469,0.9866724396266681,False
29,body_comp_trunk_fat_mass,0.11976989635123003,0.11976989635123003,0.3556296998453321,469,0.9866724396266681,False
30,body_comp_trunk_left_total_mass,-0.11940373766083205,0.11940373766083205,0.24936010936569541,469,0.9866724396266681,False
31,body_comp_total_right_tissue_percent_fat,0.11670704433255064,0.11670704433255064,0.2554992221159915,469,0.9866724396266681,False
32,body_comp_arm_right_fat_free_mass,-0.11620101221440561,0.11620101221440561,0.2512131684636063,469,0.9866724396266681,False
33,body_comp_arm_right_bone_mass,0.11605090720728206,0.11605090720728206,0.25921573735415004,469,0.9866724396266681,False
34,body_comp_total_diff_tissue_mass,-0.11473339476303111,0.11473339476303111,0.2667666050925054,469,0.9866724396266681,False
35,body_comp_android_tissue_percent_fat,0.11338510280718826,0.11338510280718826,0.351700122849834,469,0.9866724396266681,False
36,body_comp_total_left_tissue_mass,0.11332612935955486,0.11332612935955486,0.27169805928119417,469,0.9866724396266681,False
37,body_comp_leg_right_total_mass,-0.11080238055311811,0.11080238055311811,0.2754869819210366,469,0.9866724396266681,False
38,body_comp_trunk_left_region_percent_fat,0.10984017904932239,0.10984017904932239,0.28441362525254277,469,0.9866724396266681,False
39,body_comp_arm_right_tissue_percent_fat,-0.10979710251327887,0.10979710251327887,0.2791529313494294,469,0.9866724396266681,False
40,body_comp_leg_right_region_percent_fat,0.10627580748373194,0.10627580748373194,0.2998403570692586,469,0.9866724396266681,False
41,body_comp_trunk_tissue_percent_fat,0.10590715049621742,0.10590715049621742,0.37941830952219646,469,0.9866724396266681,False
42,body_comp_trunk_diff_region_percent_fat,0.10427802081963512,0.10427802081963512,0.30844660063931995,469,0.9866724396266681,False
43,body_comp_legs_diff_fat_mass,-0.10424480088449382,0.10424480088449382,0.31147476815681585,469,0.9866724396266681,False
44,body_comp_total_diff_tissue_percent_fat,0.10392831229691094,0.10392831229691094,0.31057154448833957,469,0.9866724396266681,False
45,body_comp_legs_fat_free_mass,-0.10345328416458245,0.10345328416458245,0.312698110622493,469,0.9866724396266681,False
46,body_comp_trunk_right_lean_mass,0.10257897958838448,0.10257897958838448,0.3185242158336551,469,0.9866724396266681,False
47,body_comp_gynoid_lean_mass,0.09739995012944026,0.09739995012944026,0.3387927350512032,469,0.9866724396266681,False
48,body_comp_total_left_region_percent_fat,0.09724011069756963,0.09724011069756963,0.33587898857710086,469,0.9866724396266681,False
49,body_comp_legs_diff_tissue_percent_fat,-0.09700456192881016,0.09700456192881016,0.339783634454778,469,0.9866724396266681,False
50,body_comp_arm_right_fat_mass,0.09391012343673236,0.09391012343673236,0.3558775907388947,469,0.9866724396266681,False
51,body_comp_android_lean_mass,0.09332429666466545,0.09332429666466545,0.3638113274362871,469,0.9866724396266681,False
52,body_comp_arms_diff_tissue_mass,-0.092734138526301,0.092734138526301,0.3633986592948705,469,0.9866724396266681,False
53,total_scan_sat_area,0.09002790500884378,0.09002790500884378,0.41154544757724054,469,0.9866724396266681,False
54,body_comp_leg_left_fat_free_mass,0.08991228417884065,0.08991228417884065,0.3731785195185472,469,0.9866724396266681,False
55,body_comp_trunk_diff_tissue_mass,0.08841846926692389,0.08841846926692389,0.3860211967870386,469,0.9866724396266681,False
56,body_comp_total_lean_mass,-0.0859926868829044,0.0859926868829044,0.3982986842652647,469,0.9866724396266681,False
57,body_comp_trunk_right_total_mass,-0.08352134104137708,0.08352134104137708,0.4141092786714743,469,0.9866724396266681,False
58,body_comp_legs_diff_total_mass,-0.08017943187349887,0.08017943187349887,0.43230120241540093,469,0.9866724396266681,False
59,body_comp_android_bone_mass,0.07984123058777838,0.07984123058777838,0.44057284272326325,469,0.9866724396266681,False
60,body_comp_total_diff_fat_mass,-0.07880599463392754,0.07880599463392754,0.43595828540571346,469,0.9866724396266681,False
61,body_comp_arms_region_percent_fat,-0.07798704935130826,0.07798704935130826,0.44917907518976774,469,0.9866724396266681,False
62,body_comp_arm_right_tissue_mass,0.07796470124469598,0.07796470124469598,0.45058504161003265,469,0.9866724396266681,False
63,body_comp_gynoid_bone_mass,-0.07763301907635065,0.07763301907635065,0.44488510532796377,469,0.9866724396266681,False
64,body_comp_arms_diff_bone_mass,0.07631305104401707,0.07631305104401707,0.45259390717981784,469,0.9866724396266681,False
65,body_comp_total_right_tissue_mass,-0.07453003908876206,0.07453003908876206,0.46651818724547867,469,0.9866724396266681,False
66,body_comp_android_fat_free_mass,0.07401522981710068,0.07401522981710068,0.4657246672431996,469,0.9866724396266681,False
67,body_comp_total_fat_free_mass,-0.07229203034691119,0.07229203034691119,0.47904231484013726,469,0.9866724396266681,False
68,body_comp_trunk_diff_total_mass,-0.07198698381000637,0.07198698381000637,0.4830150248391363,469,0.9866724396266681,False
69,body_comp_total_region_percent_fat,-0.06948428213647598,0.06948428213647598,0.5585087246154026,469,0.9866724396266681,False
70,body_comp_total_right_region_percent_fat,0.06525284645783284,0.06525284645783284,0.5329095564805931,469,0.9866724396266681,False
71,body_comp_trunk_tissue_mass,0.06472168776969414,0.06472168776969414,0.5282247336701171,469,0.9866724396266681,False
72,body_comp_trunk_right_tissue_mass,0.06463791670048297,0.06463791670048297,0.5300035173593589,469,0.9866724396266681,False
73,body_comp_arm_left_lean_mass,-0.06368920231892237,0.06368920231892237,0.5338761633098067,469,0.9866724396266681,False
74,body_comp_total_left_total_mass,-0.0633330375779506,0.0633330375779506,0.5360304358773116,469,0.9866724396266681,False
75,body_comp_total_right_fat_mass,-0.0627644670857984,0.0627644670857984,0.5369771292337104,469,0.9866724396266681,False
76,body_comp_arm_left_total_mass,-0.060977650652075444,0.060977650652075444,0.5523722835937734,469,0.9866724396266681,False
77,body_comp_total_left_bone_mass,0.05887226856112371,0.05887226856112371,0.5620463750624698,469,0.9866724396266681,False
78,body_comp_trunk_fat_free_mass,-0.05724406830534583,0.05724406830534583,0.576154112913309,469,0.9866724396266681,False
79,total_scan_sat_volume,0.05610771011068376,0.05610771011068376,0.6074650358070861,469,0.9866724396266681,False
