,Phenotype,Score
0,total_scan_vat_area,0.7181461252290605
1,total_scan_vat_volume,0.7159931057691733
2,total_scan_vat_mass,0.7081525506511697
3,body_comp_trunk_fat_mass,0.6583866751307365
4,body_comp_android_fat_mass,0.657550316009013
5,body_comp_total_fat_mass,0.6556943398706812
6,body_comp_trunk_tissue_percent_fat,0.6107129463733743
7,body_comp_android_tissue_percent_fat,0.6086029074631514
8,body_comp_total_region_percent_fat,0.6080200281916526
9,total_scan_sat_volume,0.6027582898208919
10,body_comp_trunk_region_percent_fat,0.5999915695562106
11,body_comp_total_tissue_percent_fat,0.5985386800642643
12,total_scan_sat_area,0.5975765067019845
13,body_comp_android_region_percent_fat,0.5967913903806893
14,total_scan_sat_mass,0.5850584901158211
15,body_comp_arms_diff_fat_free_mass,0.550095147351585
16,body_comp_trunk_diff_fat_free_mass,0.54975911872841
17,body_comp_total_right_bone_mass,0.5475064261924972
18,body_comp_arm_left_total_mass,0.5465861438325891
19,body_comp_gynoid_bone_mass,0.5451113804479163
20,body_comp_arms_fat_mass,0.5450843223605175
21,body_comp_total_diff_fat_mass,0.5439968557918757
22,body_comp_gynoid_total_mass,0.543722683791361
23,body_comp_trunk_right_lean_mass,0.5420396248673841
24,body_comp_android_tissue_mass,0.5418716087545258
25,body_comp_legs_diff_total_mass,0.5412191689941995
26,body_comp_trunk_diff_total_mass,0.5411980793781511
27,body_comp_legs_fat_free_mass,0.54108508024826
28,body_comp_trunk_left_bone_mass,0.5410131142055514
29,body_comp_total_right_tissue_percent_fat,0.5407215026495232
